continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Armenia,2021-08-29,2780472,241336.0,3702.0,4823.0,71.0
Asia,Armenia,2021-09-05,2780472,245025.0,3689.0,4911.0,88.0
Asia,Armenia,2021-09-12,2780472,248850.0,3825.0,5002.0,91.0
Asia,Armenia,2021-09-19,2780472,253600.0,4750.0,5131.0,129.0
Asia,Armenia,2021-09-26,2780472,258545.0,4945.0,5251.0,120.0
Asia,Armenia,2021-10-03,2780472,264690.0,6145.0,5372.0,121.0
Asia,Armenia,2021-10-10,2780472,272356.0,7666.0,5549.0,177.0
Asia,Armenia,2021-10-17,2780472,281991.0,9635.0,5778.0,229.0
Asia,Armenia,2021-10-24,2780472,295368.0,13377.0,6013.0,235.0
Asia,Armenia,2021-10-31,2780472,308326.0,12958.0,6328.0,315.0
Asia,Armenia,2021-11-07,2780472,320433.0,12107.0,6670.0,342.0
Asia,Armenia,2021-11-14,2780472,328963.0,8530.0,7016.0,346.0
Asia,Armenia,2021-11-21,2780472,334075.0,5112.0,7278.0,262.0
Asia,Armenia,2021-11-28,2780472,337931.0,3856.0,7514.0,236.0
Asia,Armenia,2021-12-05,2780472,340723.0,2792.0,7683.0,169.0
Asia,Armenia,2021-12-12,2780472,342538.0,1815.0,7802.0,119.0
Asia,Armenia,2021-12-19,2780472,343636.0,1098.0,7899.0,97.0
Asia,Armenia,2021-12-26,2780472,344481.0,845.0,7943.0,44.0
Asia,Armenia,2022-01-02,2780472,345007.0,526.0,7977.0,34.0
Asia,Armenia,2022-01-09,2780472,345855.0,848.0,8001.0,24.0
Asia,Armenia,2022-01-16,2780472,347617.0,1762.0,8019.0,18.0
Asia,Armenia,2022-01-23,2780472,351711.0,4094.0,8028.0,9.0
Asia,Armenia,2022-01-30,2780472,366433.0,14722.0,8046.0,18.0
Asia,Armenia,2022-02-06,2780472,389957.0,23524.0,8086.0,40.0
Asia,Armenia,2022-02-13,2780472,406379.0,16422.0,8167.0,81.0
Asia,Armenia,2022-02-20,2780472,415464.0,9085.0,8322.0,155.0
Asia,Armenia,2022-02-27,2780472,419693.0,4229.0,8449.0,127.0
Asia,Armenia,2022-03-06,2780472,421341.0,1648.0,8536.0,87.0
Asia,Armenia,2022-03-13,2780472,422004.0,663.0,8572.0,36.0
Asia,Armenia,2022-03-20,2780472,422307.0,303.0,8595.0,23.0
Asia,Armenia,2022-03-27,2780472,422458.0,151.0,8610.0,15.0
Asia,Armenia,2022-04-03,2780472,422574.0,116.0,8617.0,7.0
Asia,Armenia,2022-04-10,2780472,422677.0,103.0,8620.0,3.0
Asia,Armenia,2022-04-17,2780472,422762.0,85.0,8621.0,1.0
Asia,Armenia,2022-04-24,2780472,422825.0,63.0,8622.0,1.0
Asia,Armenia,2022-05-08,2780472,422892.0,21.0,8623.0,1.0
Asia,Armenia,2022-05-22,2780472,422935.0,18.0,8624.0,1.0
Asia,Armenia,2022-05-29,2780472,422960.0,25.0,8625.0,1.0
Asia,Armenia,2022-07-03,2780472,423243.0,139.0,8626.0,1.0
Asia,Armenia,2022-07-31,2780472,425365.0,965.0,8633.0,7.0
Asia,Armenia,2022-08-07,2780472,426799.0,1434.0,8635.0,2.0
Asia,Armenia,2022-08-14,2780472,428648.0,1849.0,8637.0,2.0
Asia,Armenia,2022-08-21,2780472,430361.0,1713.0,8643.0,6.0
Asia,Armenia,2022-08-28,2780472,432274.0,1913.0,8648.0,5.0
Asia,Armenia,2022-09-04,2780472,434398.0,2124.0,8655.0,7.0
Asia,Armenia,2022-09-11,2780472,436727.0,2329.0,8662.0,7.0
Asia,Armenia,2022-09-18,2780472,438813.0,2086.0,8669.0,7.0
Asia,Armenia,2022-09-25,2780472,440955.0,2142.0,8673.0,4.0
Asia,Armenia,2022-10-02,2780472,442386.0,1431.0,8677.0,4.0
Asia,Armenia,2022-10-09,2780472,443296.0,910.0,8685.0,8.0
Asia,Armenia,2022-10-16,2780472,443993.0,697.0,8694.0,9.0
Asia,Armenia,2022-10-23,2780472,444380.0,387.0,8700.0,6.0
Asia,Armenia,2022-11-06,2780472,444783.0,172.0,8703.0,3.0
Asia,Armenia,2022-12-04,2780472,445381.0,119.0,8704.0,1.0
Asia,Armenia,2022-12-11,2780472,445472.0,91.0,8706.0,2.0
Asia,Armenia,2022-12-25,2780472,445583.0,58.0,8708.0,2.0
Asia,Armenia,2023-01-01,2780472,445620.0,37.0,8710.0,2.0
Asia,Azerbaijan,2021-01-03,10358078,219041.0,7277.0,2670.0,254.0
Asia,Azerbaijan,2021-01-10,10358078,223417.0,4376.0,2869.0,199.0
Asia,Azerbaijan,2021-01-17,10358078,226549.0,3132.0,2983.0,114.0
Asia,Azerbaijan,2021-01-24,10358078,228526.0,1977.0,3064.0,81.0
Asia,Azerbaijan,2021-01-31,10358078,229935.0,1409.0,3119.0,55.0
Asia,Azerbaijan,2021-02-07,10358078,230907.0,972.0,3153.0,34.0
Asia,Azerbaijan,2021-02-14,10358078,231840.0,933.0,3173.0,20.0
Asia,Azerbaijan,2021-02-21,10358078,232829.0,989.0,3193.0,20.0
Asia,Azerbaijan,2021-02-28,10358078,233989.0,1160.0,3213.0,20.0
Asia,Azerbaijan,2021-03-07,10358078,236365.0,2376.0,3238.0,25.0
Asia,Azerbaijan,2021-03-14,10358078,239692.0,3327.0,3276.0,38.0
Asia,Azerbaijan,2021-03-21,10358078,245490.0,5798.0,3339.0,63.0
Asia,Azerbaijan,2021-03-28,10358078,254370.0,8880.0,3464.0,125.0
Asia,Azerbaijan,2021-04-04,10358078,268714.0,14344.0,3648.0,184.0
Asia,Azerbaijan,2021-04-11,10358078,283579.0,14865.0,3879.0,231.0
Asia,Azerbaijan,2021-04-18,10358078,298522.0,14943.0,4107.0,228.0
Asia,Azerbaijan,2021-04-25,10358078,311465.0,12943.0,4342.0,235.0
Asia,Azerbaijan,2021-05-02,10358078,320322.0,8857.0,4538.0,196.0
Asia,Azerbaijan,2021-05-09,10358078,326056.0,5734.0,4666.0,128.0
Asia,Azerbaijan,2021-05-16,10358078,329371.0,3315.0,4768.0,102.0
Asia,Azerbaijan,2021-05-23,10358078,332235.0,2864.0,4851.0,83.0
Asia,Azerbaijan,2021-05-30,10358078,333723.0,1488.0,4903.0,52.0
Asia,Azerbaijan,2021-06-06,10358078,334647.0,924.0,4936.0,33.0
Asia,Azerbaijan,2021-06-13,10358078,335126.0,479.0,4953.0,17.0
Asia,Azerbaijan,2021-06-20,10358078,335437.0,311.0,4961.0,8.0
Asia,Azerbaijan,2021-06-27,10358078,335796.0,359.0,4967.0,6.0
Asia,Azerbaijan,2021-07-04,10358078,336318.0,522.0,4977.0,10.0
Asia,Azerbaijan,2021-07-11,10358078,337098.0,780.0,4984.0,7.0
Asia,Azerbaijan,2021-07-18,10358078,338183.0,1085.0,4991.0,7.0
Asia,Azerbaijan,2021-07-25,10358078,340057.0,1874.0,5002.0,11.0
Asia,Azerbaijan,2021-08-01,10358078,343849.0,3792.0,5023.0,21.0
Asia,Azerbaijan,2021-08-08,10358078,350605.0,6756.0,5056.0,33.0
Asia,Azerbaijan,2021-08-15,10358078,365009.0,14404.0,5138.0,82.0
Asia,Azerbaijan,2021-08-22,10358078,388437.0,23428.0,5279.0,141.0
Asia,Azerbaijan,2021-08-29,10358078,413986.0,25549.0,5512.0,233.0
Asia,Azerbaijan,2021-09-05,10358078,439562.0,25576.0,5800.0,288.0
Asia,Azerbaijan,2021-09-12,10358078,455044.0,15482.0,6031.0,231.0
Asia,Azerbaijan,2021-09-19,10358078,470985.0,15941.0,6280.0,249.0
Asia,Azerbaijan,2021-09-26,10358078,479814.0,8829.0,6433.0,153.0
Asia,Azerbaijan,2021-10-03,10358078,485275.0,5461.0,6559.0,126.0
Asia,Azerbaijan,2021-10-10,10358078,491147.0,5872.0,6654.0,95.0
Asia,Azerbaijan,2021-10-17,10358078,500311.0,9164.0,6746.0,92.0
Asia,Azerbaijan,2021-10-24,10358078,514289.0,13978.0,6869.0,123.0
Asia,Azerbaijan,2021-10-31,10358078,529109.0,14820.0,7049.0,180.0
Asia,Azerbaijan,2021-11-07,10358078,544650.0,15541.0,7241.0,192.0
Asia,Azerbaijan,2021-11-14,10358078,558431.0,13781.0,7416.0,175.0
Asia,Azerbaijan,2021-11-21,10358078,572085.0,13654.0,7599.0,183.0
Asia,Azerbaijan,2021-11-28,10358078,584121.0,12036.0,7789.0,190.0
Asia,Azerbaijan,2021-12-05,10358078,594994.0,10873.0,7947.0,158.0
Asia,Azerbaijan,2021-12-12,10358078,603363.0,8369.0,8070.0,123.0
Asia,Azerbaijan,2021-12-19,10358078,609397.0,6034.0,8182.0,112.0
Asia,Azerbaijan,2021-12-26,10358078,614119.0,4722.0,8284.0,102.0
Asia,Azerbaijan,2022-01-02,10358078,617311.0,3192.0,8365.0,81.0
Asia,Azerbaijan,2022-01-09,10358078,620679.0,3368.0,8437.0,72.0
Asia,Azerbaijan,2022-01-16,10358078,624918.0,4239.0,8510.0,73.0
Asia,Azerbaijan,2022-01-23,10358078,632034.0,7116.0,8597.0,87.0
Asia,Azerbaijan,2022-01-30,10358078,651341.0,19307.0,8700.0,103.0
Asia,Azerbaijan,2022-02-06,10358078,691180.0,39839.0,8846.0,146.0
Asia,Azerbaijan,2022-02-13,10358078,738328.0,47148.0,9027.0,181.0
Asia,Azerbaijan,2022-02-20,10358078,771709.0,33381.0,9211.0,184.0
Asia,Azerbaijan,2022-02-27,10358078,784260.0,12551.0,9378.0,167.0
Asia,Azerbaijan,2022-03-06,10358078,788958.0,4698.0,9500.0,122.0
Asia,Azerbaijan,2022-03-13,10358078,790575.0,1617.0,9599.0,99.0
Asia,Azerbaijan,2022-03-20,10358078,791404.0,829.0,9651.0,52.0
Asia,Azerbaijan,2022-03-27,10358078,791695.0,291.0,9679.0,28.0
Asia,Azerbaijan,2022-04-03,10358078,792019.0,324.0,9697.0,18.0
Asia,Azerbaijan,2022-04-10,10358078,792216.0,197.0,9703.0,6.0
Asia,Azerbaijan,2022-04-17,10358078,792349.0,133.0,9705.0,2.0
Asia,Azerbaijan,2022-04-24,10358078,792476.0,127.0,9707.0,2.0
Asia,Azerbaijan,2022-05-01,10358078,792562.0,86.0,9709.0,2.0
Asia,Azerbaijan,2022-05-22,10358078,792708.0,40.0,9710.0,1.0
Asia,Azerbaijan,2022-05-29,10358078,792757.0,49.0,9712.0,2.0
Asia,Azerbaijan,2022-06-05,10358078,792804.0,47.0,9713.0,1.0
Asia,Azerbaijan,2022-06-12,10358078,792870.0,66.0,9715.0,2.0
Asia,Azerbaijan,2022-06-19,10358078,792985.0,115.0,9716.0,1.0
Asia,Azerbaijan,2022-06-26,10358078,793140.0,155.0,9717.0,1.0
Asia,Azerbaijan,2022-07-10,10358078,793695.0,360.0,9719.0,2.0
Asia,Azerbaijan,2022-07-17,10358078,794398.0,703.0,9723.0,4.0
Asia,Azerbaijan,2022-07-24,10358078,796141.0,1743.0,9735.0,12.0
Asia,Azerbaijan,2022-07-31,10358078,798404.0,2263.0,9747.0,12.0
Asia,Azerbaijan,2022-08-07,10358078,801470.0,3066.0,9760.0,13.0
Asia,Azerbaijan,2022-08-14,10358078,804585.0,3115.0,9773.0,13.0
Asia,Azerbaijan,2022-08-21,10358078,807984.0,3399.0,9784.0,11.0
Asia,Azerbaijan,2022-08-28,10358078,811559.0,3575.0,9805.0,21.0
Asia,Azerbaijan,2022-09-04,10358078,815047.0,3488.0,9822.0,17.0
Asia,Azerbaijan,2022-09-11,10358078,817596.0,2549.0,9852.0,30.0
Asia,Azerbaijan,2022-09-18,10358078,819338.0,1742.0,9884.0,32.0
Asia,Azerbaijan,2022-09-25,10358078,820662.0,1324.0,9903.0,19.0
Asia,Azerbaijan,2022-10-02,10358078,821532.0,870.0,9919.0,16.0
Asia,Azerbaijan,2022-10-09,10358078,822104.0,572.0,9927.0,8.0
Asia,Azerbaijan,2022-10-16,10358078,822538.0,434.0,9931.0,4.0
Asia,Azerbaijan,2022-10-23,10358078,822908.0,370.0,9937.0,6.0
Asia,Azerbaijan,2022-10-30,10358078,823202.0,294.0,9944.0,7.0
Asia,Azerbaijan,2022-11-06,10358078,823496.0,294.0,9955.0,11.0
Asia,Azerbaijan,2022-11-13,10358078,823688.0,192.0,9961.0,6.0
Asia,Azerbaijan,2022-11-20,10358078,823923.0,235.0,9972.0,11.0
Asia,Azerbaijan,2022-11-27,10358078,824193.0,270.0,9976.0,4.0
Asia,Azerbaijan,2022-12-04,10358078,824452.0,259.0,9983.0,7.0
Asia,Azerbaijan,2022-12-11,10358078,824802.0,350.0,9986.0,3.0
Asia,Azerbaijan,2022-12-18,10358078,825337.0,535.0,9993.0,7.0
Asia,Azerbaijan,2022-12-25,10358078,825893.0,556.0,10006.0,13.0
Asia,Azerbaijan,2023-01-01,10358078,826401.0,508.0,10008.0,2.0
Asia,Bahrain,2021-01-03,1472237,93184.0,1666.0,352.0,1.0
Asia,Bahrain,2021-01-10,1472237,95317.0,2133.0,355.0,3.0
Asia,Bahrain,2021-01-17,1472237,97268.0,1951.0,358.0,3.0
Asia,Bahrain,2021-01-24,1472237,99456.0,2188.0,367.0,9.0
Asia,Bahrain,2021-01-31,1472237,102626.0,3170.0,372.0,5.0
Asia,Bahrain,2021-02-07,1472237,106713.0,4087.0,379.0,7.0
Asia,Bahrain,2021-02-14,1472237,112102.0,5389.0,398.0,19.0
Asia,Bahrain,2021-02-21,1472237,117234.0,5132.0,420.0,22.0
Asia,Bahrain,2021-02-28,1472237,121778.0,4544.0,444.0,24.0
Asia,Bahrain,2021-03-07,1472237,126126.0,4348.0,469.0,25.0
Asia,Bahrain,2021-03-14,1472237,130404.0,4278.0,481.0,12.0
Asia,Bahrain,2021-03-21,1472237,135326.0,4922.0,498.0,17.0
Asia,Bahrain,2021-03-28,1472237,140818.0,5492.0,513.0,15.0
Asia,Bahrain,2021-04-04,1472237,147770.0,6952.0,531.0,18.0
Asia,Bahrain,2021-04-11,1472237,155402.0,7632.0,554.0,23.0
Asia,Bahrain,2021-04-18,1472237,163113.0,7711.0,588.0,34.0
Asia,Bahrain,2021-04-25,1472237,170335.0,7222.0,620.0,32.0
Asia,Bahrain,2021-05-02,1472237,177997.0,7662.0,648.0,28.0
Asia,Bahrain,2021-05-09,1472237,187905.0,9908.0,678.0,30.0
Asia,Bahrain,2021-05-16,1472237,199093.0,11188.0,737.0,59.0
Asia,Bahrain,2021-05-23,1472237,214870.0,15777.0,809.0,72.0
Asia,Bahrain,2021-05-30,1472237,235699.0,20829.0,939.0,130.0
Asia,Bahrain,2021-06-06,1472237,249582.0,13883.0,1091.0,152.0
Asia,Bahrain,2021-06-13,1472237,257852.0,8270.0,1206.0,115.0
Asia,Bahrain,2021-06-20,1472237,262427.0,4575.0,1297.0,91.0
Asia,Bahrain,2021-06-27,1472237,264995.0,2568.0,1341.0,44.0
Asia,Bahrain,2021-07-04,1472237,266286.0,1291.0,1358.0,17.0
Asia,Bahrain,2021-07-11,1472237,267112.0,826.0,1376.0,18.0
Asia,Bahrain,2021-07-18,1472237,267796.0,684.0,1380.0,4.0
Asia,Bahrain,2021-07-25,1472237,268413.0,617.0,1382.0,2.0
Asia,Bahrain,2021-08-01,1472237,269186.0,773.0,1384.0,2.0
Asia,Bahrain,2021-08-22,1472237,271534.0,718.0,1386.0,2.0
Asia,Bahrain,2021-08-29,1472237,272246.0,712.0,1388.0,2.0
Asia,Bahrain,2021-09-26,1472237,274745.0,566.0,1389.0,1.0
Asia,Bahrain,2021-10-10,1472237,275597.0,422.0,1390.0,1.0
Asia,Bahrain,2021-10-17,1472237,276030.0,433.0,1391.0,1.0
Asia,Bahrain,2021-10-24,1472237,276526.0,496.0,1393.0,2.0
Asia,Bahrain,2021-11-21,1472237,277348.0,147.0,1394.0,1.0
Asia,Bahrain,2022-01-09,1472237,290878.0,8201.0,1397.0,3.0
Asia,Bahrain,2022-01-16,1472237,305414.0,14536.0,1398.0,1.0
Asia,Bahrain,2022-01-23,1472237,327466.0,22052.0,1399.0,1.0
Asia,Bahrain,2022-01-30,1472237,362022.0,34556.0,1404.0,5.0
Asia,Bahrain,2022-02-06,1472237,413372.0,51350.0,1411.0,7.0
Asia,Bahrain,2022-02-13,1472237,458539.0,45167.0,1425.0,14.0
Asia,Bahrain,2022-02-20,1472237,488423.0,29884.0,1437.0,12.0
Asia,Bahrain,2022-02-27,1472237,509390.0,20967.0,1450.0,13.0
Asia,Bahrain,2022-03-06,1472237,525171.0,15781.0,1458.0,8.0
Asia,Bahrain,2022-03-13,1472237,536241.0,11070.0,1462.0,4.0
Asia,Bahrain,2022-03-20,1472237,543835.0,7594.0,1465.0,3.0
Asia,Bahrain,2022-03-27,1472237,550362.0,6527.0,1468.0,3.0
Asia,Bahrain,2022-04-03,1472237,555560.0,5198.0,1471.0,3.0
